,fight_id,round,FT_blue,SUL_blue,SGBL_blue,SSHL_blue,SGHL_blue,SML_blue,TDA_blue,SMA_blue,SGA_blue,SGBA_blue,SSBL_blue,SSBA_blue,SSHA_blue,ST_blue,GRC_blue,KDL_blue,KOL_blue,SSA_blue,TDL_blue,RVL_blue,SGHA_blue,FT_red,SUL_red,SGBL_red,SSHL_red,SGHL_red,SML_red,TDA_red,SMA_red,SGA_red,SGBA_red,SSBL_red,SSBA_red,SSHA_red,ST_red,GRC_red,KDL_red,KOL_red,SSA_red,TDL_red,RVL_red,SGHA_red,blue,red
1,11320,2,0,1,0,18,0,0,0,0,0,0,5,6,51,251,0,0,0,58,0,0,0,0,0,0,20,3,0,4,0,3,0,3,3,39,251,19,0,0,43,1,0,3,1595,2466
2,11320,3,5,1,0,13,0,0,0,0,0,0,1,1,34,165,5,0,0,36,0,0,0,5,0,0,17,1,0,1,1,1,0,0,0,23,165,124,0,0,23,1,0,1,1595,2466
3,11320,4,0,1,0,12,0,0,0,0,0,0,11,12,49,152,0,0,0,61,0,0,0,0,0,0,17,0,0,6,0,0,0,3,3,41,152,59,0,0,44,1,0,0,1595,2466
4,11320,5,0,0,0,9,0,0,0,0,0,0,1,1,21,129,0,0,0,23,0,0,0,0,0,0,17,0,1,4,1,0,0,1,1,32,129,33,0,0,33,1,0,0,1595,2466
0,7106,1,0,0,0,49,0,0,0,0,0,0,12,16,114,299,0,0,0,132,0,0,0,0,0,0,13,0,0,0,0,0,0,1,2,38,299,0,0,0,64,0,0,0,1595,2896
1,7106,2,0,0,0,47,0,0,3,0,0,0,3,4,113,296,0,0,0,122,0,0,0,0,0,0,28,0,0,0,0,0,0,4,5,65,296,0,0,0,85,0,0,0,1595,2896
2,7106,3,0,0,0,28,0,0,2,0,0,0,6,6,63,293,0,0,0,73,0,0,0,0,0,0,14,0,0,0,0,0,0,4,4,34,293,0,0,0,55,0,0,0,1595,2896
3,7106,4,0,0,0,18,0,0,0,0,0,0,0,0,24,32,1,0,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,32,0,0,0,8,0,0,0,1595,2896
4,10590,1,0,0,0,21,0,0,0,0,0,0,4,4,45,300,0,0,0,51,0,0,0,0,0,0,18,0,0,0,0,0,0,5,5,41,300,0,0,0,56,0,0,0,1595,2896
5,10590,2,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,2,2,6,60,0,1,1,9,0,0,1,1595,2896
0,8018,1,4,0,0,25,2,0,0,0,3,0,0,2,41,252,4,1,1,58,0,0,3,4,0,0,12,0,0,0,0,0,0,4,6,45,252,0,0,0,52,0,0,0,2896,1076
0,9366,1,0,0,0,27,0,0,0,0,0,0,3,7,58,300,0,0,0,77,0,0,0,0,0,0,35,0,0,2,0,0,0,7,7,85,300,0,0,0,99,0,0,0,2896,1442
1,9366,2,0,0,1,22,7,0,0,0,13,1,1,1,39,231,69,1,0,47,0,0,12,0,1,0,11,0,0,2,0,0,0,10,15,51,231,0,0,0,69,0,0,0,2896,1442
2,9366,3,0,1,0,26,1,0,0,0,1,0,2,3,33,272,11,0,0,45,0,0,1,0,0,0,18,0,0,2,0,0,0,11,13,63,272,0,0,0,77,1,0,0,2896,1442
0,9745,1,13,0,0,13,0,0,0,0,0,0,3,3,22,150,13,1,0,33,0,0,0,13,1,0,16,2,1,1,2,3,0,11,13,29,150,36,1,0,44,0,0,3,2896,1531
0,7703,1,2,0,0,13,0,0,0,0,0,0,2,2,28,147,2,1,1,35,0,0,0,2,0,0,6,0,0,0,0,0,0,3,5,21,147,0,0,0,32,0,0,0,2896,1657
0,6684,1,0,1,0,23,0,0,0,0,0,0,3,4,55,285,0,0,0,87,0,0,0,0,0,0,23,1,0,1,0,3,0,16,20,90,285,6,0,0,114,1,0,3,2896,1711
1,6684,2,5,0,0,39,0,0,0,0,0,0,3,4,69,264,5,0,1,87,0,0,0,5,0,0,23,0,0,2,0,0,0,24,28,53,264,0,0,0,83,0,0,0,2896,1711
0,8254,1,0,0,0,15,0,0,0,0,0,0,4,5,25,299,0,0,0,37,0,0,0,0,0,0,13,0,0,0,0,0,0,10,11,36,299,0,0,0,54,0,0,0,2896,1815
1,8254,2,0,0,0,24,0,0,0,0,0,0,4,4,37,300,0,0,0,50,0,0,0,0,0,0,17,0,0,0,0,0,0,3,4,47,300,0,0,0,64,0,0,0,2896,1815
2,8254,3,0,0,0,14,0,0,0,0,0,0,3,3,29,300,0,0,0,35,0,0,0,0,0,0,13,0,0,0,0,0,0,5,6,57,300,0,0,0,69,0,0,0,2896,1815
3,8254,4,0,0,0,18,0,0,0,0,0,0,1,1,28,300,0,0,0,36,0,0,0,0,0,0,17,0,0,0,0,0,0,13,16,50,300,0,0,0,73,0,0,0,2896,1815
4,8254,5,0,0,0,29,0,0,0,0,0,0,1,1,34,220,0,0,1,39,0,0,0,0,0,0,4,0,0,0,0,0,0,5,6,22,220,0,0,0,36,0,0,0,2896,1815
0,8595,1,0,1,0,10,0,0,0,0,0,0,2,3,22,259,0,0,0,36,0,0,0,0,0,1,15,0,0,2,0,1,1,6,6,52,259,41,0,0,59,1,0,0,2896,1919
1,8595,2,14,0,0,2,0,0,0,0,0,0,0,1,4,66,14,0,0,9,0,0,0,14,0,0,3,0,1,1,1,0,0,0,0,20,66,14,0,0,20,1,0,0,2896,1919
0,11169,1,0,0,0,4,0,0,0,0,0,0,2,4,15,300,0,0,0,26,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,18,300,0,0,0,39,0,0,0,2896,1936
1,11169,2,0,0,0,6,0,0,0,0,0,0,3,4,13,300,0,0,0,26,0,0,0,0,0,0,4,0,0,0,0,0,0,13,17,20,300,0,0,0,53,0,0,0,2896,1936
2,11169,3,0,0,0,5,0,0,0,0,0,0,9,14,18,300,0,0,0,38,0,0,0,0,0,0,6,0,0,0,0,0,0,13,18,24,300,0,0,0,53,0,0,0,2896,1936
3,11169,4,0,0,0,18,0,0,0,0,0,0,11,16,38,300,0,0,0,60,0,0,0,0,0,0,15,0,0,0,0,0,0,9,19,29,300,0,0,0,61,0,0,0,2896,1936
4,11169,5,0,0,0,11,0,0,0,0,0,0,1,4,37,299,0,0,0,49,0,0,0,0,0,0,27,0,0,0,0,0,0,22,27,58,299,0,1,1,103,0,0,0,2896,1936
0,7322,1,0,0,0,2,1,0,0,0,1,0,2,3,7,84,1,1,1,14,0,0,1,0,0,0,3,0,0,0,0,0,0,5,8,9,84,0,0,0,20,0,0,0,2896,1984
0,10330,1,0,0,0,11,0,0,1,0,0,0,7,8,21,300,0,0,0,36,0,0,0,0,0,0,11,0,0,0,0,0,0,15,19,29,300,0,0,0,50,0,0,0,2896,3078
1,10330,2,0,0,0,22,0,0,0,0,0,0,3,3,41,300,0,0,0,48,0,0,0,0,0,0,12,0,0,0,0,0,0,18,20,27,300,0,0,0,49,0,0,0,2896,3078
2,10330,3,0,0,0,48,0,0,2,0,0,0,4,4,80,295,5,0,0,87,1,0,0,0,1,0,15,0,0,0,0,0,0,19,22,44,295,0,0,0,70,0,0,0,2896,3078
3,11987,1,47,2,0,7,0,0,1,0,0,0,1,1,15,239,0,0,0,21,0,0,0,47,0,5,6,0,0,2,0,5,5,8,9,16,239,40,0,0,27,2,0,0,2896,3078
4,11987,2,0,0,0,11,5,0,0,0,8,0,4,4,39,257,43,1,0,44,0,0,8,0,1,0,6,0,0,0,0,0,0,9,13,24,257,0,0,0,40,0,0,0,2896,3078
5,11987,3,0,0,0,33,0,0,2,0,0,0,4,4,55,265,0,0,0,61,0,0,0,0,0,0,8,0,0,0,0,0,0,21,25,21,265,0,0,0,47,0,0,0,2896,3078
0,9932,1,73,0,0,10,0,0,0,0,0,0,5,6,16,164,68,0,0,26,0,1,0,73,1,0,8,7,0,1,0,9,0,5,5,14,164,63,0,0,20,1,0,9,1076,509
1,9932,2,16,0,0,2,0,0,0,0,0,0,1,2,4,76,16,0,0,7,0,0,0,16,0,0,1,0,1,0,1,0,0,1,1,5,76,0,0,0,7,0,0,0,1076,509
0,7882,1,0,0,0,28,0,0,0,0,0,0,6,9,82,301,0,0,0,95,0,0,0,0,0,0,31,0,0,0,0,0,0,14,20,76,301,0,0,0,104,0,0,0,1076,1815
1,7882,2,3,0,0,15,0,0,1,0,0,0,9,14,70,297,3,0,0,90,1,0,0,3,1,0,34,0,0,0,0,0,0,11,17,68,297,0,0,0,96,0,0,0,1076,1815
0,7798,1,0,0,0,12,0,0,0,0,0,0,3,5,35,300,0,0,0,45,0,0,0,0,0,0,10,0,0,1,0,0,0,6,12,42,300,0,0,0,58,0,0,0,1076,1983
1,7798,2,0,0,0,11,0,0,0,0,0,0,3,4,57,300,0,0,0,68,0,0,0,0,0,0,11,0,0,0,0,0,0,5,9,41,300,0,0,0,59,0,0,0,1076,1983
2,7798,3,10,0,0,12,3,0,0,0,9,0,6,7,55,291,10,1,0,69,0,0,9,10,1,0,9,0,0,1,0,0,0,5,6,29,291,0,0,0,39,0,0,0,1076,1983
3,7798,4,9,0,0,15,2,0,0,0,4,0,3,5,57,291,9,1,0,68,0,0,4,9,1,0,6,0,0,1,0,0,0,3,5,15,291,0,0,0,20,0,0,0,1076,1983
4,7798,5,3,0,0,31,1,0,0,0,1,0,2,4,84,296,3,0,0,97,0,0,1,3,0,0,13,0,0,2,0,0,0,4,6,38,296,0,0,0,47,0,0,0,1076,1983
0,7587,1,47,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,2,0,0,0,47,0,0,0,0,1,1,1,0,0,0,0,0,28,47,0,0,1,1,0,0,509,1531
0,11170,1,0,0,0,9,0,0,0,0,0,0,2,4,35,300,0,0,0,46,0,0,0,0,0,0,26,0,0,0,0,0,0,12,19,57,300,0,0,0,83,0,0,0,509,1683
1,11170,2,0,0,0,9,0,0,0,0,0,0,3,6,37,300,0,0,0,53,0,0,0,0,0,0,45,0,0,0,0,0,0,13,19,88,300,0,0,0,115,0,0,0,509,1683
2,11170,3,0,2,0,11,0,0,0,0,0,0,5,8,31,246,0,0,0,45,0,0,0,0,0,1,54,11,0,1,0,16,1,14,17,85,246,29,1,0,105,1,0,15,509,1683
0,9756,1,0,1,0,10,3,0,0,0,8,1,2,6,31,151,0,0,0,42,0,0,7,0,0,0,5,9,0,1,0,15,0,6,8,23,151,149,0,0,37,1,0,15,1815,1442
1,9756,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17,0,1,1,1,0,0,0,1815,1442
0,8877,1,215,1,0,7,0,0,0,0,0,0,2,5,21,85,0,0,0,29,0,0,0,215,0,1,6,6,0,1,2,9,1,0,2,14,85,215,0,0,19,1,0,8,1815,1531
1,8877,2,245,1,0,2,3,0,0,0,3,0,1,2,2,55,0,0,0,4,0,0,3,245,0,3,1,5,0,1,0,10,3,0,1,2,55,245,0,0,6,1,0,7,1815,1531
2,8877,3,235,1,0,2,0,0,0,0,0,0,0,3,3,60,5,0,0,6,0,0,0,235,0,3,2,6,0,1,1,10,3,0,1,5,60,235,0,0,9,1,0,7,1815,1531
0,5715,1,0,1,0,17,8,0,1,0,9,0,6,7,53,216,0,0,0,66,0,0,9,0,0,3,13,0,0,1,0,4,3,13,22,31,216,80,0,0,54,1,0,1,1815,1657
1,5715,2,16,1,0,10,7,1,1,1,7,0,4,4,26,123,16,0,0,34,0,0,7,16,0,0,6,1,0,2,0,1,0,3,5,20,123,37,0,0,26,1,0,1,1815,1657
0,10592,1,0,0,0,11,0,0,1,0,0,0,2,6,33,287,0,0,0,42,0,0,0,0,0,0,23,0,0,0,0,0,0,7,10,50,287,0,0,0,72,0,0,0,1815,1683
1,10592,2,156,0,0,12,2,0,2,0,3,0,2,4,29,144,0,0,0,33,0,0,3,156,0,2,22,16,0,0,0,29,2,6,6,39,144,156,0,0,48,0,0,27,1815,1683
2,10592,3,49,0,0,13,0,0,0,0,0,0,7,8,33,245,0,0,0,45,0,0,0,49,0,0,31,3,1,0,1,4,0,9,13,46,245,49,0,0,64,0,0,4,1815,1683
0,5419,1,0,1,0,5,0,0,0,0,0,0,3,15,19,238,0,0,0,44,0,0,0,0,0,1,7,2,0,3,0,5,1,6,8,20,238,63,0,0,31,1,0,4,1815,356
1,5419,2,95,0,0,15,21,0,0,2,24,0,5,9,21,118,95,1,0,32,0,1,24,95,2,0,6,0,0,0,0,0,0,1,2,24,118,69,0,0,28,0,0,0,1815,356
2,5419,3,4,0,0,10,0,0,1,0,0,0,7,13,27,279,4,0,0,49,0,0,0,4,0,0,2,0,0,3,0,0,0,4,6,29,279,0,0,0,36,0,0,0,1815,356
0,5242,1,0,0,1,3,2,1,1,2,8,1,2,6,20,111,45,0,0,30,1,0,7,0,0,0,2,0,0,1,0,0,0,0,1,18,111,0,0,0,20,0,0,0,1815,514
0,10021,1,0,0,0,5,0,0,1,0,0,0,7,8,28,300,0,0,0,45,0,0,0,0,0,0,12,0,0,0,0,0,0,6,11,36,300,0,0,0,51,0,0,0,1815,538
1,10021,2,0,0,0,5,0,0,0,0,0,0,6,6,35,300,0,0,0,51,0,0,0,0,0,0,19,0,0,0,0,0,0,7,8,49,300,0,0,0,59,0,0,0,1815,538
2,10021,3,0,0,0,12,0,0,1,0,0,0,5,5,31,300,0,0,0,51,0,0,0,0,0,0,21,0,0,0,0,0,0,2,5,48,300,0,0,0,56,0,0,0,1815,538
3,10021,4,8,0,0,1,0,0,1,0,0,0,5,8,12,164,8,0,0,25,1,0,0,8,1,0,19,0,1,0,1,0,0,6,6,45,164,0,0,0,51,0,0,0,1815,538
0,11438,1,30,0,0,4,0,0,0,0,0,0,1,3,9,194,0,0,0,18,0,0,0,30,0,0,3,0,1,1,1,0,0,1,2,23,194,30,0,0,25,1,0,0,1815,1985
0,6848,1,138,1,0,4,3,0,0,0,4,0,2,3,12,161,2,0,0,19,0,0,4,138,0,5,9,13,0,1,0,26,5,0,1,31,161,137,0,0,32,1,0,21,1815,2157
1,6848,2,0,0,0,21,0,0,0,0,0,0,3,8,42,299,0,0,0,54,0,0,0,0,0,0,15,0,0,2,0,0,0,7,9,40,299,0,0,0,49,0,0,0,1815,2157
2,6848,3,147,2,0,2,10,1,0,2,13,0,1,2,10,91,0,0,0,13,0,0,13,147,0,1,3,1,0,3,0,2,1,1,2,8,91,147,0,0,10,2,0,1,1815,2157
0,9093,1,215,1,0,2,4,0,0,0,4,0,1,1,13,85,0,0,0,14,0,0,4,215,0,0,6,0,0,2,0,0,0,1,1,24,85,215,0,0,28,1,0,0,1815,2168
1,9093,2,268,2,0,0,1,0,0,1,1,0,1,1,2,27,5,0,0,3,0,0,1,268,0,0,0,5,0,2,1,8,0,0,0,5,27,241,0,0,6,1,1,8,1815,2168
2,9093,3,264,1,0,0,3,0,0,0,5,0,3,3,4,36,0,0,0,7,0,0,5,264,0,0,3,2,0,2,0,2,0,2,2,9,36,264,0,0,11,1,0,2,1815,2168
0,6132,1,62,1,0,26,0,0,0,1,0,0,11,12,56,239,0,0,0,72,0,0,0,62,0,0,19,4,0,2,0,8,0,7,13,54,239,54,1,0,74,0,0,8,1815,2784
1,6132,2,16,0,0,16,0,1,0,2,0,0,6,8,36,125,0,0,0,47,0,0,0,16,0,0,3,0,0,0,0,0,0,2,5,20,125,16,0,0,28,0,0,0,1815,2784
0,10967,1,55,1,0,16,0,0,0,0,0,0,10,20,32,245,0,0,0,55,0,0,0,55,0,0,27,16,0,1,0,22,0,11,15,50,245,55,1,0,82,0,0,22,1815,3644
1,10967,2,260,0,0,3,5,0,0,0,7,0,2,2,8,40,0,0,0,11,0,0,7,260,0,2,3,13,0,0,0,18,2,0,0,8,40,260,0,0,9,0,0,16,1815,3644
2,10967,3,212,1,0,5,6,0,0,0,7,0,11,13,12,88,0,0,0,25,0,0,7,212,0,0,5,9,0,3,0,16,0,0,0,15,88,212,0,0,18,1,0,16,1815,3644
0,9370,1,15,0,0,5,0,0,0,0,0,0,3,6,21,130,0,0,0,30,0,0,0,15,0,0,11,12,0,0,0,14,0,2,2,21,130,15,1,1,26,0,0,14,1983,1683
0,7101,1,0,3,0,0,0,0,0,0,0,0,0,1,7,61,0,0,0,8,0,0,0,0,0,1,1,11,0,6,0,21,1,0,0,3,61,152,0,0,3,3,0,20,1983,1919
1,7101,2,0,2,0,0,0,0,0,0,0,0,2,2,6,60,0,0,0,9,0,0,0,0,0,2,2,15,0,3,0,22,2,0,0,12,60,223,0,0,12,2,0,20,1983,1919
2,7101,3,0,0,0,4,0,0,0,0,0,0,1,5,29,300,0,0,0,36,0,0,0,0,0,0,31,0,0,1,0,0,0,2,5,78,300,0,0,0,87,0,0,0,1983,1919
3,7101,4,0,0,0,12,0,0,1,0,0,0,3,4,40,299,0,0,0,45,0,0,0,0,0,0,32,0,0,2,0,0,0,2,3,89,299,0,0,0,93,0,0,0,1983,1919
4,7101,5,0,1,0,11,0,0,0,0,0,0,5,8,35,146,0,0,0,43,0,0,0,0,0,0,25,5,0,3,1,6,0,0,1,59,146,117,0,0,60,1,0,6,1983,1919
0,9075,1,147,0,1,7,14,0,0,1,29,2,4,7,15,54,147,0,0,22,0,1,24,147,1,0,3,3,0,2,0,4,0,1,2,6,54,99,0,0,11,1,0,4,1442,1531
1,9075,2,0,1,0,1,0,0,0,0,0,0,1,1,3,16,0,0,0,4,0,0,0,0,0,0,9,5,0,0,0,5,0,0,1,11,16,3,2,1,12,0,0,5,1442,1531
2,11685,1,0,1,0,4,0,0,0,0,0,0,3,3,5,89,0,0,0,9,0,0,0,0,0,0,4,0,0,2,0,0,0,3,5,7,89,206,0,0,16,1,0,0,1442,1531
3,11685,2,0,1,0,11,0,0,0,0,0,0,3,3,18,132,0,0,0,22,0,0,0,0,0,0,7,12,0,1,0,13,0,3,5,14,132,168,0,0,22,1,0,13,1442,1531
4,11685,3,0,1,0,8,0,0,0,0,0,0,1,1,14,109,0,0,0,19,0,0,0,0,0,0,17,4,0,3,1,4,0,4,5,25,109,177,0,0,32,1,0,4,1442,1531
5,11685,4,0,1,0,6,0,0,1,0,0,0,0,1,12,65,0,0,0,16,0,0,0,0,0,2,7,0,0,3,1,2,2,4,4,11,65,219,0,0,16,1,0,0,1442,1531
6,11685,5,119,1,2,8,22,0,0,0,24,2,7,8,14,94,119,0,0,23,0,0,22,119,0,0,5,0,0,3,0,0,0,2,4,8,94,68,0,0,17,1,0,0,1442,1531
0,8914,1,9,0,0,2,10,0,0,0,13,0,4,6,4,142,9,1,1,11,0,0,13,9,0,0,0,0,0,0,0,0,0,0,1,6,142,0,0,0,19,0,0,0,1442,2254
0,11966,1,0,0,0,3,1,0,3,0,4,0,1,1,6,170,93,0,0,7,2,0,4,0,2,0,7,0,0,0,0,0,0,1,2,28,170,0,0,0,40,0,0,0,1442,3644
1,11966,2,135,1,0,1,0,0,4,0,0,0,2,5,6,131,26,0,0,14,2,0,0,135,1,0,15,11,0,0,0,17,0,1,1,36,131,135,0,0,46,0,1,17,1442,3644
2,11966,3,142,0,0,1,0,0,0,0,0,0,0,1,2,45,0,0,0,3,0,0,0,142,0,0,6,22,0,2,0,25,0,2,2,13,45,142,0,1,15,1,0,25,1442,3644
0,7236,1,2,0,0,6,0,1,0,1,0,0,1,2,18,138,2,0,0,29,0,0,0,2,0,0,4,0,0,1,0,0,0,3,3,20,138,0,0,0,25,0,0,0,1531,459
0,5564,1,0,0,0,3,0,0,1,0,0,0,1,1,15,94,0,0,0,17,0,0,0,0,0,0,6,0,0,0,0,0,0,8,9,20,94,6,0,1,29,0,0,0,1531,1936
0,8325,1,11,0,1,6,2,0,1,0,3,1,0,1,10,80,11,0,0,15,0,1,2,11,0,0,6,7,0,0,0,7,0,2,2,20,80,210,0,0,22,0,1,7,1531,2157
1,8325,2,0,2,1,17,2,0,0,1,4,1,6,6,30,124,0,0,0,38,0,0,3,0,0,0,10,3,0,2,0,8,0,3,3,26,124,176,0,0,29,2,0,8,1531,2157
2,8325,3,0,0,0,1,0,1,0,1,0,0,1,1,4,25,0,0,0,5,0,0,0,0,0,0,9,0,0,1,0,0,0,1,1,13,25,4,0,0,14,0,0,0,1531,2157
0,10525,1,147,0,0,7,16,0,1,0,20,0,3,3,12,72,16,1,1,16,0,0,20,147,0,1,3,5,0,0,0,14,1,2,2,11,72,147,0,0,14,0,0,13,1531,2168
0,10017,1,228,2,1,0,1,0,0,0,4,1,4,5,2,34,11,0,0,7,0,0,3,228,0,0,5,4,0,2,0,5,0,3,3,10,34,228,0,0,13,2,0,5,1531,2466
1,10017,2,14,0,0,6,0,0,1,0,1,0,7,9,17,178,0,0,0,27,0,0,1,14,0,0,16,0,1,1,1,0,0,2,3,20,178,14,1,0,23,0,0,0,1531,2466
0,8175,1,5,0,0,3,2,0,1,0,2,0,1,3,7,79,2,1,1,14,0,0,2,5,0,0,7,0,0,0,0,0,0,0,2,16,79,5,0,0,18,0,0,0,1531,2890
