,fight_id,round,SMA_blue,SSHL_blue,RVL_blue,SGA_blue,SML_blue,GRC_blue,TDL_blue,SSA_blue,FT_blue,SGBL_blue,SUL_blue,KDL_blue,SSBL_blue,SSBA_blue,SGBA_blue,TDA_blue,SGHL_blue,SSHA_blue,KOL_blue,ST_blue,SGHA_blue,SMA_red,SSHL_red,RVL_red,SGA_red,SML_red,GRC_red,TDL_red,SSA_red,FT_red,SGBL_red,SUL_red,KDL_red,SSBL_red,SSBA_red,SGBA_red,TDA_red,SGHL_red,SSHA_red,KOL_red,ST_red,SGHA_red,blue,red
0,7820,1,0,12,0,0,0,0,0,69,0,0,0,0,1,5,0,0,0,55,0,300,0,0,20,0,0,0,0,0,69,0,0,0,0,3,6,0,0,0,63,0,300,0,459,361
1,7820,2,0,17,0,0,0,11,1,68,11,0,0,0,5,9,0,2,0,54,0,289,0,0,18,0,0,0,0,0,57,11,0,1,0,3,4,0,0,0,52,0,289,0,459,361
2,7820,3,0,23,0,0,0,0,0,71,0,0,0,0,7,7,0,0,0,61,0,299,0,0,18,0,0,0,0,0,51,0,0,0,0,2,2,0,0,0,49,0,299,0,459,361
0,7986,1,0,1,0,0,0,11,0,5,11,0,0,0,0,0,0,0,0,4,0,46,0,1,1,0,0,1,0,0,8,11,0,0,0,0,0,0,0,0,7,0,46,0,459,509
0,7236,1,0,4,0,0,0,0,0,25,2,0,0,0,3,3,0,1,0,20,0,138,0,1,6,0,0,1,2,0,29,2,0,0,0,1,2,0,0,0,18,0,138,0,459,1531
0,8960,1,0,21,0,0,0,48,1,44,48,0,0,0,5,5,0,2,0,36,0,219,0,0,26,0,0,0,0,0,66,48,0,1,0,4,10,0,0,0,55,0,219,0,459,1711
1,8960,2,0,4,0,1,0,45,1,23,45,0,0,0,6,6,0,4,0,15,0,191,0,0,11,0,2,0,31,0,25,45,0,1,0,1,1,0,0,2,24,0,191,2,459,1711
2,8960,3,1,4,0,2,0,141,1,19,141,0,0,0,1,1,0,1,2,18,0,73,2,0,10,0,3,0,86,0,30,141,0,1,0,0,1,0,0,3,29,0,73,3,459,1711
0,6102,1,0,12,0,0,0,0,0,55,0,0,0,1,1,4,0,3,0,47,0,300,0,0,4,0,0,0,0,0,29,0,0,1,0,1,2,0,0,0,27,0,300,0,459,2238
1,6102,2,0,16,0,0,0,0,0,72,0,0,0,0,6,7,0,3,0,62,0,298,0,0,20,0,0,0,0,0,77,0,0,0,0,5,7,0,0,0,70,0,298,0,459,2238
2,6102,3,0,14,0,0,0,0,0,65,0,0,0,0,6,10,0,0,0,55,0,279,0,0,27,0,1,0,2,0,82,0,0,0,1,3,4,0,0,1,77,1,279,1,459,2238
0,10199,1,0,10,0,0,0,0,0,79,0,0,0,0,5,12,0,1,0,59,0,300,0,0,11,0,0,0,0,0,63,0,0,0,0,3,9,0,0,0,48,0,300,0,459,2558
1,10199,2,0,9,0,0,0,39,2,40,0,0,0,0,5,6,0,8,0,31,0,125,0,0,21,0,0,0,0,0,42,0,0,2,0,0,1,0,0,0,40,0,125,0,459,2558
2,10199,3,0,11,0,3,0,90,2,61,0,3,0,0,10,15,3,6,0,44,0,140,0,0,23,0,0,0,0,0,61,0,0,2,0,2,3,0,0,0,58,0,140,0,459,2558
0,7552,1,0,1,0,3,0,76,0,5,2,0,0,0,1,1,0,0,0,4,0,70,1,1,0,0,0,1,0,0,15,2,0,0,0,1,2,0,0,0,7,0,70,0,361,2726
0,6669,1,0,5,0,0,0,0,0,49,0,0,0,0,3,10,0,2,0,29,0,299,0,0,21,0,0,0,0,0,53,0,0,0,0,14,19,0,0,0,33,0,299,0,509,1069
1,6669,2,0,0,0,11,0,110,1,8,110,0,1,0,2,2,0,1,4,4,0,56,11,0,2,0,13,0,128,1,9,110,3,1,0,1,1,3,1,5,8,0,56,9,509,1069
2,6669,3,0,4,0,0,0,0,0,42,0,0,0,0,10,11,0,1,0,21,0,218,0,0,21,0,0,0,0,0,46,0,0,0,0,9,9,0,1,0,35,0,218,0,509,1069
0,7587,1,0,0,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,1,0,28,0,1,0,0,0,1,47,1,1,47,0,0,0,0,0,0,1,0,0,0,28,0,509,1531
0,6482,1,0,10,0,0,0,34,1,54,34,0,1,0,9,9,0,2,0,42,0,235,0,0,19,1,1,0,9,0,69,34,1,0,0,3,5,1,0,0,56,0,235,0,509,1595
1,6482,2,0,19,0,0,0,0,0,52,0,0,1,0,9,9,0,2,0,38,0,257,0,0,45,0,0,0,27,1,108,0,0,0,0,5,5,0,1,0,97,0,257,0,509,1595
2,6482,3,3,5,0,2,0,0,0,27,0,0,2,0,2,2,0,2,2,16,0,135,2,0,12,0,9,0,163,2,29,0,0,0,0,1,3,0,2,3,24,0,135,9,509,1595
0,6907,1,0,7,0,6,0,136,1,18,136,0,0,0,2,3,0,2,5,13,0,108,6,0,4,0,1,0,55,0,19,136,0,1,0,2,2,0,0,1,16,0,108,1,509,1997
1,6907,2,0,5,0,0,0,0,0,36,0,0,0,0,3,5,0,3,0,26,0,206,0,0,14,0,9,0,92,0,65,0,2,0,0,8,9,2,0,5,54,0,206,7,509,1997
2,6907,3,0,1,0,0,0,0,0,20,0,0,1,0,3,4,0,0,0,12,0,165,0,0,11,0,9,0,106,1,37,0,0,0,0,6,6,0,1,5,29,0,165,9,509,1997
0,5248,1,2,3,0,0,0,9,0,19,137,0,0,0,1,1,0,0,0,14,0,151,0,0,7,0,5,0,137,0,34,137,0,0,0,4,7,0,1,3,22,0,151,5,509,2168
1,5248,2,1,0,1,0,0,3,0,3,253,0,0,0,0,0,0,0,0,2,0,43,0,1,1,0,4,0,253,1,7,253,0,1,0,3,4,0,1,3,3,0,43,4,509,2168
2,5248,3,0,1,0,0,0,0,0,5,257,0,1,0,0,0,0,0,0,3,0,44,0,0,2,0,1,0,257,1,3,257,0,0,0,0,1,0,2,1,2,0,44,1,509,2168
0,11766,1,1,5,0,0,1,0,0,24,6,0,0,0,2,2,0,0,0,19,0,158,0,0,8,0,0,0,6,0,31,6,0,0,0,6,12,0,3,0,17,0,158,0,509,2315
0,8318,1,0,10,0,1,0,0,0,45,0,0,0,0,3,4,0,1,1,34,0,300,1,0,13,0,0,0,0,0,54,0,0,0,0,2,5,0,0,0,45,0,300,0,509,2558
1,8318,2,0,4,0,2,0,0,0,21,102,0,1,0,3,3,0,1,2,15,0,170,2,0,20,0,12,0,102,1,47,102,0,0,0,0,0,0,1,8,43,0,170,12,509,2558
2,8318,3,0,16,0,0,0,0,0,52,0,0,0,0,7,8,0,0,0,41,0,302,0,0,36,0,0,0,0,0,84,0,0,0,0,3,3,0,0,0,80,0,302,0,509,2558
0,10401,1,0,12,0,0,0,0,0,70,0,0,0,0,8,10,0,0,0,53,0,300,0,0,14,0,0,0,0,0,66,0,0,0,0,12,15,0,0,0,43,0,300,0,509,3058
1,10401,2,0,9,0,0,0,0,0,50,0,0,0,0,3,7,0,1,0,39,0,299,0,0,21,0,0,0,0,0,74,0,0,0,0,12,16,0,0,0,55,0,299,0,509,3058
2,10401,3,1,11,0,0,0,36,0,65,11,0,1,0,5,8,0,0,0,45,0,250,0,0,22,1,8,0,11,0,86,11,2,0,0,13,17,2,1,5,65,0,250,6,509,3058
0,6372,1,2,1,0,7,0,171,1,3,171,0,1,0,0,0,0,1,6,3,0,60,7,0,1,0,3,0,71,1,8,171,0,1,0,0,0,0,1,2,6,0,60,3,1531,1054
1,6372,2,0,4,0,0,0,24,1,8,24,0,0,0,1,1,0,1,0,6,0,34,0,1,4,1,2,1,76,0,7,24,1,0,0,0,2,1,0,0,4,0,34,1,1531,1054
0,6179,1,0,2,0,8,0,43,1,9,43,1,2,0,3,6,1,6,3,3,0,121,7,0,3,2,32,0,137,0,11,43,2,0,0,5,6,3,0,15,5,0,121,29,1531,1069
1,6179,2,0,15,0,2,0,73,1,61,73,0,2,0,12,19,0,3,1,41,0,197,2,0,19,2,1,0,29,0,38,73,0,0,0,5,10,0,0,1,28,0,197,1,1531,1069
2,6179,3,0,1,0,1,0,60,2,5,60,0,0,0,1,2,0,2,1,3,0,24,1,1,3,1,0,1,25,0,5,60,0,1,0,0,1,0,0,0,4,0,24,0,1531,1069
0,5426,1,0,9,0,29,0,84,1,31,84,4,0,1,15,16,4,2,17,15,0,97,25,0,16,0,1,0,41,0,44,84,0,2,0,6,7,0,6,1,33,0,97,1,1531,1137
1,5426,2,1,1,0,8,0,16,0,6,38,0,2,0,3,4,0,0,7,1,0,17,8,1,2,0,6,0,197,2,11,38,0,0,0,1,1,0,3,5,8,0,17,6,1531,1137
2,5426,3,1,2,0,0,1,15,0,10,15,0,0,0,3,4,0,0,0,2,0,36,0,0,0,0,0,0,6,0,7,15,0,0,0,1,2,0,1,0,5,0,36,0,1531,1137
3,7849,1,0,12,1,3,0,88,0,36,2,0,0,0,7,12,0,0,3,22,0,205,3,0,7,0,0,0,2,1,38,2,0,1,0,2,4,0,2,0,30,0,205,0,1531,1137
4,7849,2,1,3,0,5,0,3,0,15,76,0,1,1,6,7,0,0,5,8,1,44,5,0,1,0,2,0,76,1,9,76,0,0,0,3,5,0,2,2,4,0,44,2,1531,1137
0,9075,1,0,3,0,4,0,99,1,11,147,0,1,0,1,2,0,2,3,6,0,54,4,1,7,1,29,0,147,0,22,147,1,0,0,4,7,2,0,14,15,0,54,24,1531,1442
1,9075,2,0,9,0,5,0,3,0,12,0,0,0,2,0,1,0,0,5,11,1,16,5,0,1,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,3,0,16,0,1531,1442
2,11685,1,0,4,0,0,0,206,1,16,0,0,0,0,3,5,0,2,0,7,0,89,0,0,4,0,0,0,0,0,9,0,0,1,0,3,3,0,0,0,5,0,89,0,1531,1442
3,11685,2,0,7,0,13,0,168,1,22,0,0,0,0,3,5,0,1,12,14,0,132,13,0,11,0,0,0,0,0,22,0,0,1,0,3,3,0,0,0,18,0,132,0,1531,1442
4,11685,3,1,17,0,4,0,177,1,32,0,0,0,0,4,5,0,3,4,25,0,109,4,0,8,0,0,0,0,0,19,0,0,1,0,1,1,0,0,0,14,0,109,0,1531,1442
5,11685,4,1,7,0,2,0,219,1,16,0,2,0,0,4,4,2,3,0,11,0,65,0,0,6,0,0,0,0,0,16,0,0,1,0,0,1,0,1,0,12,0,65,0,1531,1442
6,11685,5,0,5,0,0,0,68,1,17,119,0,0,0,2,4,0,3,0,8,0,94,0,0,8,0,24,0,119,0,23,119,2,1,0,7,8,2,0,22,14,0,94,22,1531,1442
0,9506,1,0,28,0,1,0,0,0,91,15,0,1,0,17,23,0,2,0,65,0,259,1,0,50,0,4,0,15,0,83,15,0,0,1,2,2,0,0,2,81,0,259,4,1531,1595
1,9506,2,0,3,1,25,0,241,0,7,16,2,0,0,2,3,2,3,16,4,0,17,23,0,1,0,3,0,16,0,2,16,0,1,0,0,0,0,0,2,2,0,17,3,1531,1595
2,9506,3,3,1,0,0,1,0,0,7,0,0,0,0,1,1,0,1,0,6,0,14,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,14,0,1531,1595
0,8877,1,2,6,0,9,0,215,1,19,215,1,0,0,0,2,1,1,6,14,0,85,8,0,7,0,0,0,0,0,29,215,0,1,0,2,5,0,0,0,21,0,85,0,1531,1815
1,8877,2,0,1,0,10,0,245,1,6,245,3,0,0,0,1,3,1,5,2,0,55,7,0,2,0,3,0,0,0,4,245,0,1,0,1,2,0,0,3,2,0,55,3,1531,1815
2,8877,3,1,2,0,10,0,235,1,9,235,3,0,0,0,1,3,1,6,5,0,60,7,0,2,0,0,0,5,0,6,235,0,1,0,0,3,0,0,0,3,0,60,0,1531,1815
0,5564,1,0,3,0,0,0,0,0,17,0,0,0,0,1,1,0,1,0,15,0,94,0,0,6,0,0,0,6,0,29,0,0,0,0,8,9,0,0,0,20,1,94,0,1531,1936
0,5813,1,1,0,0,0,1,5,1,10,93,0,0,0,3,4,0,1,0,4,0,80,0,0,3,0,0,0,93,0,16,93,0,0,0,1,1,0,0,0,14,0,80,0,1531,1974
0,6555,1,1,0,0,0,1,52,2,7,52,0,0,0,1,2,0,2,0,2,0,98,0,0,1,0,0,0,0,0,5,52,0,1,0,2,2,0,0,0,2,0,98,0,1531,2042
0,8325,1,0,6,1,3,0,11,0,15,11,1,0,0,0,1,1,1,2,10,0,80,2,0,6,1,7,0,210,0,22,11,0,0,0,2,2,0,0,7,20,0,80,7,1531,2157
1,8325,2,1,17,0,4,0,0,0,38,0,1,2,0,6,6,1,0,2,30,0,124,3,0,10,0,8,0,176,2,29,0,0,0,0,3,3,0,2,3,26,0,124,8,1531,2157
2,8325,3,1,1,0,0,1,0,0,5,0,0,0,0,1,1,0,0,0,4,0,25,0,0,9,0,0,0,4,0,14,0,0,0,0,1,1,0,1,0,13,0,25,0,1531,2157
0,10525,1,0,7,0,20,0,16,0,16,147,0,0,1,3,3,0,1,16,12,1,72,20,0,3,0,14,0,147,0,14,147,1,0,0,2,2,1,0,5,11,0,72,13,1531,2168
0,6955,1,2,0,0,5,0,124,2,4,139,0,0,0,0,0,0,3,2,1,0,25,5,0,1,0,18,0,115,0,4,139,2,2,0,0,0,3,0,11,4,0,25,15,1531,2316
1,6955,2,0,1,1,1,0,0,0,3,174,0,0,0,0,1,0,0,0,1,0,37,1,0,3,0,20,0,152,0,4,174,1,1,0,1,1,1,0,11,3,1,37,18,1531,2316
0,7460,1,0,6,0,0,0,20,1,29,7,0,0,0,2,5,0,3,0,17,0,254,0,0,7,0,1,0,7,0,46,7,0,1,0,3,5,0,0,0,39,0,254,0,1531,2322
1,7460,2,1,6,0,2,1,33,1,29,0,1,0,0,4,8,1,1,1,17,0,163,1,0,6,0,0,0,0,0,33,0,0,0,0,0,7,0,0,0,26,0,163,0,1531,2322
0,10017,1,0,0,0,4,0,11,0,7,228,1,2,0,4,5,1,0,1,2,0,34,3,0,5,0,5,0,228,2,13,228,0,0,0,3,3,0,2,4,10,0,34,5,1531,2466
1,10017,2,0,6,0,1,0,0,0,27,14,0,0,0,7,9,0,1,0,17,0,178,1,1,16,0,0,1,14,0,23,14,0,0,1,2,3,0,1,0,20,0,178,0,1531,2466
0,7673,1,0,10,0,0,0,8,1,38,35,0,1,0,3,11,0,1,0,24,0,258,0,0,11,0,6,0,35,0,37,35,0,1,1,4,6,0,0,3,27,0,258,5,1531,2734
